TP12,29.44,28.45,0.00,TPTP20R,TP20R
TP13,161.37,67.64,0.00,TPTP20R,TP20R
TP14,96.90,92.48,0.00,TPTP20R,TP20R
TP15,29.36,32.51,0.00,TPTP20R,TP20R
TP16,88.95,108.51,0.00,TPTP20R,TP20R
TP17,96.52,102.74,0.00,TPTP20R,TP20R
TP2,22.66,71.35,0.00,TPTP20R,TP20R
TP3,161.42,64.54,0.00,TPTP20R,TP20R
TP4,97.13,108.43,0.00,TPTP20R,TP20R
TP5,92.76,108.38,0.00,TPTP20R,TP20R
TP6,13.64,16.18,0.00,TPTP20R,TP20R
TP7,13.21,25.76,0.00,TPTP20R,TP20R
TP8,12.80,30.35,0.00,TPTP20R,TP20R
TP9,13.34,20.50,0.00,TPTP20R,TP20R
U1,47.83,58.19,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,25.96,57.89,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,90.45,56.31,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,151.79,52.25,0.00,MAX17048G+T10,SON50P200X200X80-9N
